Table 1,,,,,,,,,,
,,IPHONE,,,,,,,,
S NO.,BRAND,MODEL,COLOUR,GB,CONDITION,BATTREY,CYCLE,WARRANTY,PRICE,
P-13,APPLE,17PROMAX ESIM ESIM,ORANGE,512,1,1,32,18/02/27,134000,
P-61,APPLE,17PRO MAX SIM+ESIM,BLUE,256,1,1,15,2-4-27,132999,
P-62,APPLE,17PRO MAX SIM+ESIM,ORANGE,256,1,0.98,160,17-10-26,119900,
O-834,APPLE,17PRO MAX SIM+ESIM,ORANGE,256,1,0.99,151,18/10/26,125000,
O-993,APPLE,17PRO ESIM ESIM,SILVER,256,1,1,2,25-3-2027,114500,
O-945,APPLE,17PRO ESIM ESIM,SILVER,256,1,1,99,12-12-26,110500,
O-976,APPLE,17PRO SIM+ESIM,ORANGE,256,0.99,0.99,142,21-10-26,112500,
O-977,APPLE,17PRO SIM+ESIM,ORANGE,256,1,1,83,17-11-26,116500,
O-925,APPLE,17PRO ESIM ESIM,ORANGE,512,1,1,0,1 YEAR,131500,
P-60,APPLE,17PRO ESIM ESIM,BLUE,256,1,1,139,9-11-26,107999,
P-24,APPLE,AIR,BLACK,256,1,1,4,29/01/27,78500,LOOSE
P-59,APPLE,AIR,BLACK,256,1,1,101,2-12-26,79900,BOX
P-28,APPLE,16PRO (SIM+ESIM),DESERT,256,0.99,0.92,438,16/07/26,80000,
P-22,APPLE,16PRO ESIM ESIM,BLACK,256,0.99,1,22,1 MONTH,74000,
P-32,APPLE,16PRO (SIM+ESIM),DESERT,256,1,0.98,258,1MONTH,83000,
P-68,APPLE,16PRO (SIM+ESIM),BLACK,256,1,0.9,453,1 MONTH,74500,
O-986,APPLE,16PRO (SIM+ESIM),BLACK,128,0.99,0.92,539,1 MONTH,68500,
O-746,APPLE,16PROMAX (ESIM+ESIM),DESERT,256,1,1,21,22/08/26,89900,
O-905,APPLE,16PRO MAX SIM+ESIM,DESERT,256,1,ONLY ACTIVE,522,1 MONTH,79900,
O-374,APPLE,16PROMAX (SIM+SIM),NATURAL,256,1,0.9,482,1 MONTH,82500,
O-644,APPLE,16PROMAX SIM+ESIM,SILVER,256,1,0.91,368,1 MONTH,82999,
O-651,APPLE,16PRO MAX SIM+ESIM,DESERT,256,1,0.91,478,1 MONTH,81500,
O-969,APPLE,16PROMAX (ESIM+ESIM),BLACK,256,1,1,5,11-6-26,84500,
O-996,APPLE,16PROMAX (ESIM+ESIM),DESERT,256,1,0.9,469,1 MONTH,80500,
O-920,APPLE,16,BLACK,256,1,1,229,30-9-36,61500,
O-973,APPLE,16,BLACK,128,1,1,21,12-1-27,55999,
O-985,APPLE,16,TEAL,256,1,1,192,11-9-26,60500,
P-57,APPLE,16,WHITE,128,1,1,118,25-1-27,56500,
O-997,APPLE,16PLUS,BLACK,256,1,0.95,405,1 MONTH,60000,
O-974,APPLE,16PLUS,BLACK,128,1,1,166,13-8-26,56500,
O-283,APPLE,15PROMAX(ESIM+ESIM),NATURAL,256,1,0.86,773,1 MONTH,66500,
O-934,APPLE,15PRO MAX SIM+ESIM,NATURAL,256,1,0.87,820,1 MONTH,68500,
O-709,APPLE,15PRO MAX ESIM+ESIM,NATURAL,256,0.99,0.87,458,1 MONTH,66500,
O-802,APPLE,15PRO MAX SIM+ESIM,BLUE,256,1,0.87,582,1 MONTH,68500,
O-955,APPLE,15PRO MAX ESIM+ESIM,BLUE,256,1,1,27,1 MONTH,72500,
O-989,APPLE,15PRO MAX ESIM+ESIM,BLUE,512,1,0.92,283,1 MONTH,70500,
RO-739,APPLE,15PRO MAX SIM+ESIM,BLUE,256,0.99,0.85,494,1 MONTH,68500,
